"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
26,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
32,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
35,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
41,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
61,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
66,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
72,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
73,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
76,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
106,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
126,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
276,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
311,"Hamburger Verkehrsverbund (HVV)","http://www.hvv.de","Europe/Berlin","de","+494019449"
